id,video_id,comment_id,comment_text,author,like_count,reply_count,reply_depth_potential,engagement_score,created_at,ai_reply,embedding
24,ABCD1234,UCm0024,もっと深い内容も聞きたい気持ちもある,@thinker_note,1,0,0,0,2025-11-06 05:02:12,null,
25,ABCD1234,UCm0025,サクッと見られて助かる！,@saku_saku,6,0,0,0,2025-11-06 04:55:19,null,
26,IJKL2222,UCm0026,この場所行ってみたいな…,@world_seek,9,1,0,0,2025-11-05 17:59:12,null,
27,IJKL2222,UCm0027,夜景が綺麗すぎる✨,@night_city,12,1,0,0,2025-11-05 17:10:22,null,
28,IJKL2222,UCm0028,次の動画も楽しみにしてます！,@yume_color,5,0,0,0,2025-11-05 16:33:49,null,
29,IJKL2222,UCm0029,この構成めっちゃ好き,@melo_melo,7,0,0,0,2025-11-05 15:45:33,null,
30,IJKL2222,UCm0030,もう少しテンポ早いと嬉しい,@tempochanger,1,0,0,0,2025-11-05 15:02:12,null,
31,EFGH5678,UCm0031,この話すごく納得したわ,@agree_taro,6,0,0,0,2025-11-05 14:23:27,null,
32,EFGH5678,UCm0032,途中の例えツボったwww,@lol_point,3,0,0,0,2025-11-05 13:42:01,null,
33,EFGH5678,UCm0033,最後のまとめ分かりやすくて助かる,@summary_love,8,1,0,0,2025-11-05 13:01:33,null,
34,EFGH5678,UCm0034,こういう情報発信応援してます！,@support_me,11,1,0,0,2025-11-05 12:30:14,null,
35,EFGH5678,UCm0035,音量差がちょっと気になった…,@volume_checker,1,0,0,0,2025-11-05 11:52:21,null,
36,ABCD1234,UCm0036,これ初心者向けにめちゃ良い内容だね,@start_easy,7,0,0,0,2025-11-05 11:13:24,null,
37,ABCD1234,UCm0037,ノート取りながら見てます📘,@study_boy,4,0,0,0,2025-11-05 10:39:11,null,
38,ABCD1234,UCm0038,字幕付けてくれると嬉しいなぁ,@caption_hope,0,0,0,0,2025-11-05 09:59:14,null,
39,ABCD1234,UCm0039,なんか安心して見てられる動画だね,@calm_channel,5,0,0,0,2025-11-05 09:31:12,null,
40,ABCD1234,UCm0040,今日も楽しかった〜！,@daily_viewer,10,0,0,0,2025-11-05 09:01:55,null,
41,IJKL2222,UCm0041,このホテル泊まってみたい🏨,@travel_sister,3,0,0,0,2025-11-05 08:14:13,null,
42,IJKL2222,UCm0042,夜景のシーン最高でした✨,@light_fish,6,0,0,0,2025-11-05 07:50:41,null,
43,IJKL2222,UCm0043,こういう雰囲気の動画ほんと好き,@cozy_room,8,0,0,0,2025-11-05 07:12:01,null,
44,IJKL2222,UCm0044,もっと長くても良かったかも！,@long_video,4,0,0,0,2025-11-05 06:48:02,null,
45,IJKL2222,UCm0045,BGMがすごく良かった🎶,@bgm_fan,9,0,0,0,2025-11-05 06:10:55,null,
46,EFGH5678,UCm0046,参考にさせてもらってます🙏,@thanks_point,7,0,0,0,2025-11-05 05:47:22,null,
47,EFGH5678,UCm0047,こういう説明うまいなぁ,@teach_me,6,0,0,0,2025-11-05 05:12:30,null,
48,EFGH5678,UCm0048,ちょっと疲れてる時に見ると元気出る,@refresh_love,5,0,0,0,2025-11-05 04:30:14,null,
49,EFGH5678,UCm0049,これもっと評価されるべき,@hidden_gem,11,0,0,0,2025-11-05 03:52:44,null,
50,EFGH5678,UCm0050,途中で笑ったwww最高,@best_viewer,14,1,0,0,2025-11-05 03:20:11,null,
