id,video_id,comment_id,comment_text,author,like_count,reply_count,reply_depth_potential,engagement_score,created_at,ai_reply,embedding
40,EFGH5678,UCm0040,刺激受けました、頑張ります！,@ren_dev,15,3,0,0,2025-11-06 00:04:00,,
41,EFGH5678,UCm0041,音質すごく良いですね🎧,@blueforest,10,1,0,0,2025-11-08 01:58:00,,
42,EFGH5678,UCm0042,音質すごく良いですね🎧,@hiro_mix,23,3,0,0,2025-11-07 17:23:00,,
43,EFGH5678,UCm0043,これは保存したくなる…,@hiro_mix,19,2,0,0,2025-11-07 04:26:00,,
44,EFGH5678,UCm0044,音質すごく良いですね🎧,@sora_day,10,3,0,0,2025-11-07 01:49:00,,
45,ABCD1234,UCm0045,めっちゃ分かりやすかった！ありがとう！,@blueforest,15,0,0,0,2025-11-08 02:32:00,,
46,ABCD1234,UCm0046,これは保存したくなる…,@blueforest,14,2,0,0,2025-11-07 19:16:00,,
47,EFGH5678,UCm0047,編集スキル高すぎません？,@sora_day,27,2,0,0,2025-11-06 20:40:00,,
48,EFGH5678,UCm0048,こういう解説待ってた…助かります,@hiro_mix,15,1,0,0,2025-11-07 07:29:00,,
49,IJKL9012,UCm0049,もっと色々教えてほしい！,@yuta_funny,4,2,0,0,2025-11-05 21:58:00,,
50,IJKL9012,UCm0050,このシリーズもっと続けてほしい！,@tomo_tube,8,1,0,0,2025-11-07 14:45:00,,
51,EFGH5678,UCm0051,笑いながら見てたwww,@sora_day,26,0,0,0,2025-11-07 21:39:00,,
52,ABCD1234,UCm0052,編集スキル高すぎません？,@blueforest,1,2,0,0,2025-11-07 08:04:00,,
53,IJKL9012,UCm0053,編集スキル高すぎません？,@hiro_mix,2,2,0,0,2025-11-06 14:19:00,,
54,IJKL9012,UCm0054,ちょっと早口だけど内容は好き,@mikan_orange,28,0,0,0,2025-11-05 21:28:00,,
55,EFGH5678,UCm0055,刺激受けました、頑張ります！,@sora_day,16,0,0,0,2025-11-06 15:13:00,,
56,MNOP3456,UCm0056,音質すごく良いですね🎧,@luna_art,3,3,0,0,2025-11-06 23:01:00,,
57,MNOP3456,UCm0057,刺激受けました、頑張ります！,@emi_create,18,0,0,0,2025-11-06 22:15:00,,
58,ABCD1234,UCm0058,もっと色々教えてほしい！,@sora_day,17,2,0,0,2025-11-08 16:13:00,,
59,IJKL9012,UCm0059,笑いながら見てたwww,@hiro_mix,12,1,0,0,2025-11-06 12:58:00,,
60,IJKL9012,UCm0060,もっと色々教えてほしい！,@mikan_orange,25,1,0,0,2025-11-07 03:16:00,,
61,MNOP3456,UCm0061,編集スキル高すぎません？,@kana_study,23,1,0,0,2025-11-06 05:33:00,,
62,IJKL9012,UCm0062,ちょっと早口だけど内容は好き,@hiro_mix,4,3,0,0,2025-11-07 04:10:00,,
63,EFGH5678,UCm0063,こういう解説待ってた…助かります,@blueforest,6,2,0,0,2025-11-05 15:10:00,,
64,ABCD1234,UCm0064,めっちゃ分かりやすかった！ありがとう！,@ren_dev,3,0,0,0,2025-11-08 07:07:00,,
65,IJKL9012,UCm0065,音質すごく良いですね🎧,@emi_create,29,2,0,0,2025-11-07 20:09:00,,
66,IJKL9012,UCm0066,これは保存したくなる…,@emi_create,9,1,0,0,2025-11-06 20:22:00,,
67,MNOP3456,UCm0067,これは保存したくなる…,@ren_dev,29,1,0,0,2025-11-06 20:57:00,,
68,MNOP3456,UCm0068,音質すごく良いですね🎧,@emi_create,21,3,0,0,2025-11-05 08:21:00,,
69,ABCD1234,UCm0069,こういう解説待ってた…助かります,@emi_create,15,2,0,0,2025-11-07 19:00:00,,
70,MNOP3456,UCm0070,このシリーズもっと続けてほしい！,@luna_art,8,2,0,0,2025-11-05 09:09:00,,
71,EFGH5678,UCm0071,編集スキル高すぎません？,@blueforest,21,0,0,0,2025-11-05 19:25:00,,
72,EFGH5678,UCm0072,音質すごく良いですね🎧,@tomo_tube,1,2,0,0,2025-11-06 11:13:00,,
73,EFGH5678,UCm0073,刺激受けました、頑張ります！,@kana_study,7,0,0,0,2025-11-05 21:58:00,,
74,MNOP3456,UCm0074,このシリーズもっと続けてほしい！,@hiro_mix,21,0,0,0,2025-11-08 04:35:00,,
75,IJKL9012,UCm0075,めっちゃ分かりやすかった！ありがとう！,@mikan_orange,17,2,0,0,2025-11-05 14:45:00,,
76,MNOP3456,UCm0076,めっちゃ分かりやすかった！ありがとう！,@yuta_funny,29,0,0,0,2025-11-07 22:16:00,,
77,ABCD1234,UCm0077,ちょっと早口だけど内容は好き,@sora_day,9,0,0,0,2025-11-06 04:56:00,,
78,MNOP3456,UCm0078,音質すごく良いですね🎧,@kana_study,20,0,0,0,2025-11-08 15:22:00,,
79,MNOP3456,UCm0079,編集スキル高すぎません？,@sora_day,0,1,0,0,2025-11-08 01:30:00,,
80,ABCD1234,UCm0080,笑いながら見てたwww,@blueforest,17,0,0,0,2025-11-07 19:35:00,,
81,EFGH5678,UCm0081,笑いながら見てたwww,@hiro_mix,28,2,0,0,2025-11-06 07:18:00,,
82,IJKL9012,UCm0082,笑いながら見てたwww,@luna_art,28,1,0,0,2025-11-06 10:51:00,,
83,IJKL9012,UCm0083,めっちゃ分かりやすかった！ありがとう！,@sora_day,18,2,0,0,2025-11-08 09:56:00,,
84,MNOP3456,UCm0084,ちょっと早口だけど内容は好き,@yuta_funny,5,3,0,0,2025-11-08 08:37:00,,
85,MNOP3456,UCm0085,めっちゃ分かりやすかった！ありがとう！,@mikan_orange,15,2,0,0,2025-11-08 03:28:00,,
86,ABCD1234,UCm0086,このシリーズもっと続けてほしい！,@blueforest,7,0,0,0,2025-11-08 12:40:00,,
87,ABCD1234,UCm0087,こういう解説待ってた…助かります,@sora_day,22,2,0,0,2025-11-06 14:57:00,,
88,ABCD1234,UCm0088,こういう解説待ってた…助かります,@emi_create,1,1,0,0,2025-11-06 02:50:00,,
89,ABCD1234,UCm0089,編集スキル高すぎません？,@mikan_orange,8,0,0,0,2025-11-08 19:18:00,,
90,ABCD1234,UCm0090,音質すごく良いですね🎧,@mikan_orange,19,1,0,0,2025-11-07 04:45:00,,
91,ABCD1234,UCm0091,もっと色々教えてほしい！,@ren_dev,22,1,0,0,2025-11-06 07:54:00,,
92,ABCD1234,UCm0092,もっと色々教えてほしい！,@mikan_orange,3,1,0,0,2025-11-05 13:42:00,,
93,MNOP3456,UCm0093,これは保存したくなる…,@tomo_tube,10,1,0,0,2025-11-05 19:14:00,,
94,EFGH5678,UCm0094,このシリーズもっと続けてほしい！,@kana_study,17,0,0,0,2025-11-06 14:35:00,,
95,IJKL9012,UCm0095,編集スキル高すぎません？,@blueforest,20,3,0,0,2025-11-08 07:16:00,,
96,EFGH5678,UCm0096,めっちゃ分かりやすかった！ありがとう！,@mikan_orange,7,3,0,0,2025-11-05 11:46:00,,
97,MNOP3456,UCm0097,音質すごく良いですね🎧,@luna_art,3,2,0,0,2025-11-08 05:26:00,,
98,IJKL9012,UCm0098,編集スキル高すぎません？,@sora_day,27,1,0,0,2025-11-08 10:09:00,,
99,EFGH5678,UCm0099,これは保存したくなる…,@yuta_funny,5,0,0,0,2025-11-06 08:40:00,,
100,EFGH5678,UCm0100,このシリーズもっと続けてほしい！,@hiro_mix,27,1,0,0,2025-11-08 12:31:00,,
101,EFGH5678,UCm0101,こういう解説待ってた…助かります,@sora_day,26,1,0,0,2025-11-06 09:47:00,,
102,IJKL9012,UCm0102,ちょっと早口だけど内容は好き,@luna_art,20,0,0,0,2025-11-07 08:48:00,,
103,ABCD1234,UCm0103,編集スキル高すぎません？,@kana_study,3,1,0,0,2025-11-08 02:04:00,,
104,EFGH5678,UCm0104,ちょっと早口だけど内容は好き,@hiro_mix,22,0,0,0,2025-11-08 08:39:00,,
105,IJKL9012,UCm0105,めっちゃ分かりやすかった！ありがとう！,@blueforest,6,0,0,0,2025-11-06 14:24:00,,
106,IJKL9012,UCm0106,笑いながら見てたwww,@ren_dev,19,0,0,0,2025-11-07 05:20:00,,
107,MNOP3456,UCm0107,これは保存したくなる…,@mikan_orange,27,2,0,0,2025-11-06 12:57:00,,
108,IJKL9012,UCm0108,めっちゃ分かりやすかった！ありがとう！,@ren_dev,17,3,0,0,2025-11-06 18:26:00,,
109,IJKL9012,UCm0109,これは保存したくなる…,@tomo_tube,12,3,0,0,2025-11-05 23:36:00,,
110,EFGH5678,UCm0110,このシリーズもっと続けてほしい！,@sora_day,6,3,0,0,2025-11-08 17:02:00,,
111,EFGH5678,UCm0111,刺激受けました、頑張ります！,@kana_study,2,3,0,0,2025-11-07 11:13:00,,
112,EFGH5678,UCm0112,もっと色々教えてほしい！,@tomo_tube,5,2,0,0,2025-11-07 14:12:00,,
113,EFGH5678,UCm0113,刺激受けました、頑張ります！,@hiro_mix,6,1,0,0,2025-11-07 12:35:00,,
114,EFGH5678,UCm0114,このシリーズもっと続けてほしい！,@luna_art,4,3,0,0,2025-11-07 10:20:00,,
115,ABCD1234,UCm0115,音質すごく良いですね🎧,@blueforest,8,0,0,0,2025-11-05 23:15:00,,
116,MNOP3456,UCm0116,こういう解説待ってた…助かります,@kana_study,29,3,0,0,2025-11-05 14:03:00,,
117,ABCD1234,UCm0117,編集スキル高すぎません？,@blueforest,16,1,0,0,2025-11-06 02:00:00,,
118,ABCD1234,UCm0118,これは保存したくなる…,@kana_study,6,2,0,0,2025-11-08 02:38:00,,
119,ABCD1234,UCm0119,もっと色々教えてほしい！,@emi_create,11,0,0,0,2025-11-07 22:21:00,,
120,EFGH5678,UCm0120,こういう解説待ってた…助かります,@blueforest,3,3,0,0,2025-11-07 03:25:00,,
121,EFGH5678,UCm0121,これは保存したくなる…,@tomo_tube,29,3,0,0,2025-11-06 21:23:00,,
122,EFGH5678,UCm0122,ちょっと早口だけど内容は好き,@luna_art,5,3,0,0,2025-11-07 08:44:00,,
123,IJKL9012,UCm0123,もっと色々教えてほしい！,@yuta_funny,12,0,0,0,2025-11-06 14:42:00,,
124,ABCD1234,UCm0124,このシリーズもっと続けてほしい！,@yuta_funny,28,3,0,0,2025-11-06 20:18:00,,
125,IJKL9012,UCm0125,ちょっと早口だけど内容は好き,@yuta_funny,20,0,0,0,2025-11-07 04:45:00,,
126,EFGH5678,UCm0126,編集スキル高すぎません？,@yuta_funny,7,2,0,0,2025-11-06 18:19:00,,
127,ABCD1234,UCm0127,編集スキル高すぎません？,@emi_create,16,1,0,0,2025-11-06 20:15:00,,
128,MNOP3456,UCm0128,これは保存したくなる…,@tomo_tube,9,1,0,0,2025-11-07 09:06:00,,
129,ABCD1234,UCm0129,こういう解説待ってた…助かります,@tomo_tube,21,3,0,0,2025-11-08 06:06:00,,
130,MNOP3456,UCm0130,めっちゃ分かりやすかった！ありがとう！,@blueforest,6,0,0,0,2025-11-06 11:51:00,,
131,IJKL9012,UCm0131,こういう解説待ってた…助かります,@tomo_tube,24,2,0,0,2025-11-06 21:39:00,,
132,EFGH5678,UCm0132,このシリーズもっと続けてほしい！,@mikan_orange,23,3,0,0,2025-11-08 12:47:00,,
133,EFGH5678,UCm0133,ちょっと早口だけど内容は好き,@sora_day,16,2,0,0,2025-11-05 12:27:00,,
134,MNOP3456,UCm0134,めっちゃ分かりやすかった！ありがとう！,@ren_dev,6,1,0,0,2025-11-08 11:43:00,,
135,ABCD1234,UCm0135,ちょっと早口だけど内容は好き,@mikan_orange,11,3,0,0,2025-11-07 09:18:00,,
136,EFGH5678,UCm0136,編集スキル高すぎません？,@luna_art,7,1,0,0,2025-11-06 00:24:00,,
137,ABCD1234,UCm0137,笑いながら見てたwww,@ren_dev,1,3,0,0,2025-11-05 08:43:00,,
138,MNOP3456,UCm0138,めっちゃ分かりやすかった！ありがとう！,@blueforest,22,2,0,0,2025-11-06 05:32:00,,
139,ABCD1234,UCm0139,笑いながら見てたwww,@emi_create,4,1,0,0,2025-11-07 20:04:00,,
140,IJKL9012,UCm0140,これは保存したくなる…,@blueforest,9,1,0,0,2025-11-05 21:52:00,,
141,MNOP3456,UCm0141,これは保存したくなる…,@tomo_tube,17,0,0,0,2025-11-08 00:14:00,,
142,EFGH5678,UCm0142,このシリーズもっと続けてほしい！,@mikan_orange,22,1,0,0,2025-11-05 11:22:00,,
143,MNOP3456,UCm0143,音質すごく良いですね🎧,@ren_dev,22,3,0,0,2025-11-06 19:45:00,,
144,EFGH5678,UCm0144,このシリーズもっと続けてほしい！,@tomo_tube,9,0,0,0,2025-11-06 12:42:00,,
145,MNOP3456,UCm0145,めっちゃ分かりやすかった！ありがとう！,@tomo_tube,11,3,0,0,2025-11-07 16:57:00,,
146,IJKL9012,UCm0146,これは保存したくなる…,@luna_art,30,0,0,0,2025-11-08 04:45:00,,
147,IJKL9012,UCm0147,めっちゃ分かりやすかった！ありがとう！,@tomo_tube,4,3,0,0,2025-11-06 17:14:00,,
148,ABCD1234,UCm0148,これは保存したくなる…,@kana_study,19,0,0,0,2025-11-08 15:31:00,,
149,ABCD1234,UCm0149,めっちゃ分かりやすかった！ありがとう！,@yuta_funny,7,3,0,0,2025-11-06 04:43:00,,
150,EFGH5678,UCm0150,編集スキル高すぎません？,@ren_dev,24,0,0,0,2025-11-06 23:49:00,,
151,ABCD1234,UCm0151,こういう解説待ってた…助かります,@ren_dev,29,2,0,0,2025-11-07 21:26:00,,
152,MNOP3456,UCm0152,もっと色々教えてほしい！,@ren_dev,5,1,0,0,2025-11-07 19:17:00,,
153,MNOP3456,UCm0153,ちょっと早口だけど内容は好き,@sora_day,22,0,0,0,2025-11-07 01:57:00,,
154,IJKL9012,UCm0154,編集スキル高すぎません？,@mikan_orange,29,3,0,0,2025-11-08 00:41:00,,
155,EFGH5678,UCm0155,これは保存したくなる…,@yuta_funny,21,0,0,0,2025-11-08 16:30:00,,
156,ABCD1234,UCm0156,笑いながら見てたwww,@blueforest,16,3,0,0,2025-11-07 08:26:00,,
157,IJKL9012,UCm0157,ちょっと早口だけど内容は好き,@sora_day,2,1,0,0,2025-11-08 17:22:00,,
158,ABCD1234,UCm0158,これは保存したくなる…,@hiro_mix,24,1,0,0,2025-11-06 14:08:00,,
159,IJKL9012,UCm0159,こういう解説待ってた…助かります,@kana_study,24,1,0,0,2025-11-08 07:10:00,,
160,IJKL9012,UCm0160,ちょっと早口だけど内容は好き,@ren_dev,4,1,0,0,2025-11-06 09:33:00,,
161,EFGH5678,UCm0161,このシリーズもっと続けてほしい！,@tomo_tube,10,1,0,0,2025-11-08 13:01:00,,
162,ABCD1234,UCm0162,めっちゃ分かりやすかった！ありがとう！,@ren_dev,7,0,0,0,2025-11-08 11:03:00,,
163,MNOP3456,UCm0163,これは保存したくなる…,@tomo_tube,7,3,0,0,2025-11-05 10:30:00,,
164,ABCD1234,UCm0164,めっちゃ分かりやすかった！ありがとう！,@mikan_orange,30,1,0,0,2025-11-05 08:29:00,,
165,ABCD1234,UCm0165,刺激受けました、頑張ります！,@emi_create,6,1,0,0,2025-11-05 17:54:00,,
166,IJKL9012,UCm0166,編集スキル高すぎません？,@hiro_mix,27,1,0,0,2025-11-05 22:05:00,,
167,IJKL9012,UCm0167,刺激受けました、頑張ります！,@ren_dev,28,2,0,0,2025-11-07 22:16:00,,
168,MNOP3456,UCm0168,ちょっと早口だけど内容は好き,@ren_dev,27,0,0,0,2025-11-08 13:09:00,,
169,MNOP3456,UCm0169,これは保存したくなる…,@hiro_mix,25,3,0,0,2025-11-07 12:31:00,,
170,ABCD1234,UCm0170,もっと色々教えてほしい！,@luna_art,26,2,0,0,2025-11-05 17:01:00,,
171,EFGH5678,UCm0171,編集スキル高すぎません？,@luna_art,0,1,0,0,2025-11-06 13:20:00,,
172,MNOP3456,UCm0172,めっちゃ分かりやすかった！ありがとう！,@tomo_tube,10,2,0,0,2025-11-06 17:12:00,,
173,ABCD1234,UCm0173,このシリーズもっと続けてほしい！,@blueforest,13,0,0,0,2025-11-06 07:41:00,,
174,EFGH5678,UCm0174,こういう解説待ってた…助かります,@mikan_orange,20,0,0,0,2025-11-08 06:54:00,,
175,IJKL9012,UCm0175,このシリーズもっと続けてほしい！,@luna_art,11,0,0,0,2025-11-05 12:44:00,,
176,IJKL9012,UCm0176,このシリーズもっと続けてほしい！,@mikan_orange,23,1,0,0,2025-11-05 19:49:00,,
177,ABCD1234,UCm0177,このシリーズもっと続けてほしい！,@luna_art,7,0,0,0,2025-11-06 11:01:00,,
178,EFGH5678,UCm0178,音質すごく良いですね🎧,@blueforest,16,3,0,0,2025-11-06 02:50:00,,
179,EFGH5678,UCm0179,これは保存したくなる…,@emi_create,26,0,0,0,2025-11-07 21:17:00,,
180,EFGH5678,UCm0180,笑いながら見てたwww,@emi_create,11,0,0,0,2025-11-05 17:57:00,,
181,IJKL9012,UCm0181,編集スキル高すぎません？,@blueforest,17,3,0,0,2025-11-05 18:28:00,,
182,IJKL9012,UCm0182,編集スキル高すぎません？,@kana_study,7,2,0,0,2025-11-06 15:58:00,,
183,ABCD1234,UCm0183,もっと色々教えてほしい！,@blueforest,21,0,0,0,2025-11-05 12:08:00,,
184,IJKL9012,UCm0184,こういう解説待ってた…助かります,@luna_art,3,1,0,0,2025-11-07 17:38:00,,
185,IJKL9012,UCm0185,これは保存したくなる…,@sora_day,19,3,0,0,2025-11-06 00:25:00,,
186,MNOP3456,UCm0186,笑いながら見てたwww,@yuta_funny,18,1,0,0,2025-11-08 17:31:00,,
187,MNOP3456,UCm0187,めっちゃ分かりやすかった！ありがとう！,@kana_study,2,0,0,0,2025-11-06 14:21:00,,
188,ABCD1234,UCm0188,このシリーズもっと続けてほしい！,@emi_create,22,2,0,0,2025-11-05 08:14:00,,
189,MNOP3456,UCm0189,こういう解説待ってた…助かります,@mikan_orange,26,3,0,0,2025-11-08 17:43:00,,
190,IJKL9012,UCm0190,これは保存したくなる…,@kana_study,4,1,0,0,2025-11-08 10:55:00,,
191,ABCD1234,UCm0191,刺激受けました、頑張ります！,@blueforest,27,0,0,0,2025-11-07 01:23:00,,
192,IJKL9012,UCm0192,こういう解説待ってた…助かります,@blueforest,1,0,0,0,2025-11-05 14:50:00,,
193,IJKL9012,UCm0193,編集スキル高すぎません？,@emi_create,16,3,0,0,2025-11-08 15:28:00,,
194,IJKL9012,UCm0194,こういう解説待ってた…助かります,@tomo_tube,21,3,0,0,2025-11-08 04:42:00,,
195,MNOP3456,UCm0195,これは保存したくなる…,@mikan_orange,13,3,0,0,2025-11-08 15:24:00,,
196,IJKL9012,UCm0196,刺激受けました、頑張ります！,@kana_study,6,0,0,0,2025-11-08 11:01:00,,
197,MNOP3456,UCm0197,これは保存したくなる…,@mikan_orange,14,3,0,0,2025-11-07 10:41:00,,
198,EFGH5678,UCm0198,笑いながら見てたwww,@luna_art,9,2,0,0,2025-11-07 12:55:00,,
199,MNOP3456,UCm0199,ちょっと早口だけど内容は好き,@kana_study,7,0,0,0,2025-11-07 21:26:00,,
200,MNOP3456,UCm0200,こういう解説待ってた…助かります,@yuta_funny,23,3,0,0,2025-11-06 11:53:00,,
